CNPJ,NomeDaEmpresa,DadosAdicionais
91.677.719/0001-73,empresa1@corp.net,Grupo Nova Era - Soluções em TI
36.157.476/0001-44,empresa2@empresa.com.br,LogisBem - Soluções em TI
83.882.818/0001-32,empresa3@servicos.org,AlvoTech - Construções LTDA
51.759.425/0001-85,empresa4@corp.net,Construmax - Transportes Gerais
48.711.202/0001-82,empresa5@empresa.com.br,Grupo Nova Era - Transportes Gerais
32.600.457/0001-26,empresa6@negocio.com,AlvoTech - Soluções em TI
54.443.604/0001-19,empresa7@servicos.org,Grupo Nova Era - Soluções em TI
17.688.978/0001-71,empresa8@negocio.com,Grupo Nova Era - Consultoria Empresarial
41.180.478/0001-98,empresa9@negocio.com,AlvoTech - Comércio de Alimentos
19.881.505/0001-86,empresa10@empresa.com.br,LogisBem - Soluções em TI
38.651.439/0001-43,empresa11@corp.net,Grupo Nova Era - Soluções em TI
94.909.218/0001-53,empresa12@servicos.org,Construmax - Soluções em TI
78.573.715/0001-18,empresa13@corp.net,Grupo Nova Era - Construções LTDA
77.610.291/0001-48,empresa14@empresa.com.br,LogisBem - Transportes Gerais
20.162.948/0001-12,empresa15@negocio.com,AlvoTech - Comércio de Alimentos
65.872.394/0001-39,empresa16@empresa.com.br,QualyServ - Construções LTDA
32.376.651/0001-97,empresa17@negocio.com,Grupo Nova Era - Comércio de Alimentos
70.615.428/0001-54,empresa18@corp.net,QualyServ - Consultoria Empresarial
55.131.105/0001-15,empresa19@corp.net,QualyServ - Soluções em TI
74.689.339/0001-55,empresa20@empresa.com.br,LogisBem - Soluções em TI
90.381.563/0001-23,empresa21@empresa.com.br,AlvoTech - Construções LTDA
41.106.847/0001-54,empresa22@corp.net,Construmax - Consultoria Empresarial
57.334.974/0001-83,empresa23@servicos.org,LogisBem - Comércio de Alimentos
13.862.131/0001-10,empresa24@servicos.org,Construmax - Consultoria Empresarial
66.816.453/0001-70,empresa25@corp.net,QualyServ - Soluções em TI
35.580.978/0001-62,empresa26@servicos.org,AlvoTech - Consultoria Empresarial
85.357.984/0001-14,empresa27@empresa.com.br,Grupo Nova Era - Consultoria Empresarial
52.657.841/0001-26,empresa28@negocio.com,LogisBem - Comércio de Alimentos
80.684.112/0001-25,empresa29@negocio.com,Construmax - Construções LTDA
88.529.739/0001-44,empresa30@servicos.org,AlvoTech - Transportes Gerais
43.300.287/0001-87,empresa31@servicos.org,Construmax - Consultoria Empresarial
71.344.343/0001-86,empresa32@servicos.org,LogisBem - Construções LTDA
63.754.921/0001-29,empresa33@corp.net,AlvoTech - Comércio de Alimentos
70.195.420/0001-10,empresa34@servicos.org,Construmax - Construções LTDA
65.288.907/0001-30,empresa35@negocio.com,LogisBem - Comércio de Alimentos
